Date,Demand
01.01.2022,159.33
02.01.2022,151.48
03.01.2022,162.14
04.01.2022,185.37
05.01.2022,220.47
06.01.2022,289.51
07.01.2022,375.3
08.01.2022,318.07
09.01.2022,257.77
10.01.2022,214.07
11.01.2022,323.29
12.01.2022,303.51
13.01.2022,324.68
14.01.2022,413.06
15.01.2022,404.22
16.01.2022,258.61
17.01.2022,246.34
18.01.2022,476.85
19.01.2022,534.19
20.01.2022,483.44
21.01.2022,784.83
22.01.2022,363.91
23.01.2022,232.55
24.01.2022,213.82
25.01.2022,250.45
26.01.2022,175.22
27.01.2022,161.87
28.01.2022,162.64
29.01.2022,158.05
30.01.2022,140.96
31.01.2022,156.03
01.02.2022,181.21
02.02.2022,161.77
03.02.2022,175
04.02.2022,177.54
05.02.2022,218.55
06.02.2022,155.25
07.02.2022,142.69
08.02.2022,147.69
09.02.2022,164.33
10.02.2022,192.76
11.02.2022,197.42
12.02.2022,211.58
13.02.2022,182.09
14.02.2022,168.87
15.02.2022,220.79
16.02.2022,258.82
17.02.2022,180.24
18.02.2022,232.06
19.02.2022,202.96
20.02.2022,159.87
21.02.2022,154.47
22.02.2022,177.19
23.02.2022,188.02
24.02.2022,193.05
25.02.2022,247.65
26.02.2022,227.53
27.02.2022,186.96
28.02.2022,181.1
29.02.2022,237
01.03.2022,195.19
02.03.2022,225.35
03.03.2022,240.63
04.03.2022,224.18
05.03.2022,188.83
06.03.2022,184.86
07.03.2022,219.05
08.03.2022,238.07
09.03.2022,229.44
10.03.2022,234.72
11.03.2022,249.72
12.03.2022,213.19
13.03.2022,202.29
14.03.2022,212.31
15.03.2022,208.87
16.03.2022,206.83
17.03.2022,208.37
18.03.2022,207.36
19.03.2022,201.31
20.03.2022,192.64
21.03.2022,205.17
22.03.2022,206.38
23.03.2022,205
24.03.2022,201.33
25.03.2022,194.72
26.03.2022,184.76
27.03.2022,159.7
28.03.2022,159.05
29.03.2022,188.13
30.03.2022,206.69
31.03.2022,211.51
01.04.2022,215.52
02.04.2022,193.99
03.04.2022,187.46
04.04.2022,219.05
05.04.2022,215.04
06.04.2022,199.21
07.04.2022,191.76
08.04.2022,203.86
09.04.2022,200.13
10.04.2022,191.83
11.04.2022,215.11
12.04.2022,208.4
13.04.2022,226.51
14.04.2022,222.59
15.04.2022,209.2
16.04.2022,192.22
17.04.2022,177.96
18.04.2022,198.68
19.04.2022,191.87
20.04.2022,200.81
21.04.2022,201.41
22.04.2022,199.92
23.04.2022,200.48
24.04.2022,198.63
25.04.2022,230.9
26.04.2022,229.59
27.04.2022,223.8
28.04.2022,233.66
30.04.2022,206.78
01.05.2022,200.27
02.05.2022,223.47
03.05.2022,223.04
04.05.2022,232.9
05.05.2022,199.44
06.05.2022,204.43
07.05.2022,173.75
08.05.2022,151.87
09.05.2022,198.23
10.05.2022,221.89
11.05.2022,226.64
12.05.2022,218.1
13.05.2022,231.76
14.05.2022,188.31
15.05.2022,185.75
16.05.2022,207.79
17.05.2022,229.22
18.05.2022,254.56
19.05.2022,272.32
20.05.2022,234.98
21.05.2022,214.99
22.05.2022,206.81
23.05.2022,226.87
24.05.2022,224.18
25.05.2022,225.72
26.05.2022,233.7
27.05.2022,240.2
28.05.2022,214.01
29.05.2022,193.67
30.05.2022,209.65
31.05.2022,226.14
01.06.2022,238.5
02.06.2022,229.18
03.06.2022,229.05
04.06.2022,211.87
05.06.2022,207.13
06.06.2022,250.04
07.06.2022,255
08.06.2022,245.19
09.06.2022,249.08
10.06.2022,245.3
11.06.2022,238.45
12.06.2022,234.84
13.06.2022,258.89
14.06.2022,257.88
15.06.2022,268.12
16.06.2022,267.82
17.06.2022,260.2
18.06.2022,233.3
19.06.2022,222.23
20.06.2022,259.02
21.06.2022,260.71
22.06.2022,263.77
23.06.2022,261.29
24.06.2022,251.51
25.06.2022,240.47
26.06.2022,223.68
27.06.2022,267.5
28.06.2022,278.27
29.06.2022,270.38
30.06.2022,253.67
01.07.2022,236.22
02.07.2022,200.32
03.07.2022,196.34
04.07.2022,240.7
05.07.2022,230.75
06.07.2022,205.78
07.07.2022,234.54
08.07.2022,240.28
09.07.2022,221.68
10.07.2022,222.33
11.07.2022,233.8
12.07.2022,240.23
13.07.2022,245.21
14.07.2022,237.33
15.07.2022,231.29
16.07.2022,228.53
17.07.2022,221.12
18.07.2022,247.64
19.07.2022,260.32
20.07.2022,252.71
21.07.2022,257.99
22.07.2022,253.87
23.07.2022,244.97
24.07.2022,240.55
25.07.2022,261.24
26.07.2022,256.34
27.07.2022,255.69
28.07.2022,248.5
29.07.2022,246.41
30.07.2022,234.13
31.07.2022,225.95
01.08.2022,241.49
02.08.2022,249.08
03.08.2022,240.36
04.08.2022,231.71
05.08.2022,241.54
06.08.2022,214.31
07.08.2022,196.1
08.08.2022,209.87
09.08.2022,218.6
10.08.2022,234.28
11.08.2022,241.91
12.08.2022,230.28
13.08.2022,189.65
14.08.2022,202.12
15.08.2022,234.58
16.08.2022,235.48
17.08.2022,246.09
18.08.2022,244.08
19.08.2022,254.29
20.08.2022,232.76
21.08.2022,219.87
22.08.2022,265.25
23.08.2022,255.89
24.08.2022,258.34
25.08.2022,248.79
